,NAME,DATE,TAVG
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",17/1/14,69
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",18/1/14,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",19/1/14,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",20/1/14,61
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",21/1/14,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",22/1/14,63
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",23/1/14,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",24/1/14,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",25/1/14,64
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",26/1/14,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",27/1/14,60
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",28/1/14,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29/1/14,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",30/1/14,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",31/1/14,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/2/14,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/2/14,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/2/14,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",4/2/14,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",5/2/14,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",6/2/14,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",7/2/14,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",8/2/14,57
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",9/2/14,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",10/2/14,59
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",11/2/14,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",12/2/14,59
